Bat,Rotor,Height,ResPolBat,ResPolRot,desC,operC,resC,c1,c2,c3,c_cum
3,2,20,1,1,2600,269647457.46524245,67854.6301725903,1,1,0,1
3,2,30,1,1,2600,265830057.11224902,66241.62862412933,1,1,0,1
3,2,40,1,1,2600,68349799.17947021,64679.15142479988,1,1,0,1
3,2,50,1,1,2600,67631843.43187629,63041.95563993455,1,1,0,1
3,2,60,1,1,2600,25897947.83822199,40042.630996421685,1,1,0,1
3,2,70,1,1,2600,25961894.04081337,39866.10666942114,1,1,0,1
3,2,80,1,1,2600,-12175295.774102265,33802.24568916199,0,0,0,0
3,2,90,1,1,2600,-13722536.973362884,33569.72879655218,0,0,0,0
3,2,100,1,1,2600,-13968585.799450526,33301.362145803825,0,0,0,0
3,2,110,1,1,2600,-13915305.973271817,33050.90370245868,0,0,1,1
3,2,120,1,1,2600,-13862815.10199388,32782.48177048333,0,0,1,1
0,0,10,2,2,0,209651647.78491262,43418.58996417781,1,1,0,1
0,0,20,2,2,0,-2450985.7056087684,42807.957708664704,1,1,0,1
0,0,30,2,2,0,-13040064.440047994,39677.593237389556,0,0,0,0
0,0,40,2,2,0,-12150200.820529787,28510.965508253386,0,0,0,0
0,0,50,2,2,0,-12868156.568123717,28171.154031394348,0,0,0,0
0,0,60,2,2,0,-14102052.16177801,25535.588439521667,0,0,0,0
0,0,70,2,2,0,-14038105.959186628,25248.284267842737,0,0,0,0
0,0,80,2,2,0,-12175295.774102265,20121.549327872453,0,0,0,0
0,0,90,2,2,0,-13722536.973362884,20021.260555697347,0,0,0,0
0,0,100,2,2,0,-13968585.799450526,19905.570452094697,0,0,0,0
0,0,110,2,2,0,-13915305.973271817,20895.211659799366,0,0,1,1
0,0,120,2,2,0,-13862815.10199388,20779.50961677108,0,0,1,1
0,1,10,2,2,1000,211201647.74491262,43103.81977861783,1,1,0,1
0,1,20,2,2,1000,205600790.8035739,42449.34905244969,1,1,0,1
0,1,30,2,2,1000,-2540064.4400479933,41731.46857916872,1,1,0,1
0,1,40,2,2,1000,-12150200.820529787,30008.689618958735,0,0,0,0
0,1,50,2,2,1000,-12868156.568123717,29660.320467508143,0,0,0,0
0,1,60,2,2,1000,-14102052.16177801,26880.415205874724,0,0,0,0
0,1,70,2,2,1000,-14038105.959186628,26585.874008330877,0,0,0,0
0,1,80,2,2,1000,-12175295.774102265,21173.99764689622,0,0,0,0
0,1,90,2,2,1000,-13722536.973362884,21071.185437308224,0,0,0,0
0,1,100,2,2,1000,-13968585.799450526,20952.58165914173,0,0,0,0
0,1,110,2,2,1000,-13915305.973271817,20841.903407856906,0,0,1,1
0,1,120,2,2,1000,-13862815.10199388,20723.286863131158,0,0,1,1
0,2,10,2,2,2000,212901647.71823916,44060.3794819481,1,1,0,1
0,2,20,2,2,2000,208700790.80024058,43378.56475863412,1,1,0,1
0,2,30,2,2,2000,205010797.85333574,42647.99894907605,1,1,0,1
0,2,40,2,2,2000,-1650200.8205297869,41937.65238433404,1,1,0,1
0,2,50,2,2,2000,-2368156.5681237173,41958.54854657105,1,1,0,1
0,2,60,2,2,2000,-4102052.1617780104,27368.441972227778,1,1,0,1
0,2,70,2,2,2000,-4038105.959186629,27066.663748819006,1,1,0,1
0,2,80,2,2,2000,-12175295.774102265,21559.345965919983,0,0,0,0
0,2,90,2,2,2000,-13722536.973362884,21454.010318919114,0,0,0,0
0,2,100,2,2,2000,-13968585.799450526,21332.49286618877,0,0,0,0
0,2,110,2,2,2000,-13915305.973271817,21600.206267025555,0,0,1,1
0,2,120,2,2,2000,-13862815.10199388,21478.675220602338,0,0,1,1
1,0,10,2,2,300,230001647.7715793,32020.975913528986,1,1,0,1
1,0,20,2,2,300,8049014.294391232,33326.32770590938,1,1,0,1
1,0,30,2,2,300,-13040064.440047994,29892.485645946406,0,0,0,0
1,0,40,2,2,300,-12150200.820529787,21628.775012547587,0,0,0,0
1,0,50,2,2,300,-12868156.568123717,21145.19460255061,0,0,0,0
1,0,60,2,2,300,-14102052.16177801,19289.118114252968,0,0,0,0
1,0,70,2,2,300,-14038105.959186628,18880.23190804345,0,0,0,0
1,0,80,2,2,300,-12175295.774102265,15333.023309693868,0,0,0,0
1,0,90,2,2,300,-13722536.973362884,15190.34078898244,0,0,0,0
1,0,100,2,2,300,-13968585.799450526,15025.700952707124,0,0,0,0
1,0,110,2,2,300,-13915305.973271817,14872.055249388191,0,0,1,1
1,0,120,2,2,300,-13862815.10199388,14707.389577842523,0,0,1,1
1,1,10,2,2,1300,232051647.73157904,31870.85156130389,1,1,0,1
1,1,20,2,2,1300,227047457.46868485,30936.29486080544,1,1,0,1
1,1,30,2,2,1300,7959935.559952007,29924.00858832648,1,1,0,1
1,1,40,2,2,1300,-12150200.820529787,21652.388012141826,0,0,0,0
1,1,50,2,2,1300,-12868156.568123717,21160.249927553297,0,0,0,0
1,1,60,2,2,1300,-14102052.16177801,19307.244880606024,0,0,0,0
1,1,70,2,2,1300,-14038105.959186628,18891.12164853159,0,0,0,0
1,1,80,2,2,1300,-12175295.774102265,15392.482739828738,0,0,0,0
1,1,90,2,2,1300,-13722536.973362884,15247.276781704433,0,0,0,0
1,1,100,2,2,1300,-13968585.799450526,15079.723270865272,0,0,0,0
1,1,110,2,2,1300,-13915305.973271817,14923.358108556837,0,0,1,1
1,1,120,2,2,1300,-13862815.10199388,14755.777935313705,0,0,1,1
1,2,10,2,2,2300,233251647.70474198,32635.202931300824,1,1,0,1
1,2,20,2,2,2300,229647457.46524245,31678.89017810098,1,1,0,1
1,2,30,2,2,2300,225830057.11224902,30654.177140348944,1,1,0,1
1,2,40,2,2,2300,8349799.179470213,29659.46317560044,1,1,0,1
1,2,50,2,2,2300,7631843.431876282,29381.736096210716,1,1,0,1
1,2,60,2,2,2300,5897947.83822199,19776.17164695908,1,1,0,1
1,2,70,2,2,2300,5961894.040813371,19352.81138901973,1,1,0,1
1,2,80,2,2,2300,-12175295.774102265,15762.275503296947,0,0,0,0
1,2,90,2,2,2300,-13722536.973362884,15614.546107759763,0,0,0,0
1,2,100,2,2,2300,-13968585.799450526,15444.07892235675,0,0,0,0
1,2,110,2,2,2300,-13915305.973271817,15666.105412169929,0,0,1,1
1,2,120,2,2,2300,-13862815.10199388,15495.610737229334,0,0,1,1
2,0,10,2,2,300,230001647.7715793,27229.864802417873,1,1,0,1
2,0,20,2,2,300,8049014.294391232,28535.216594798276,1,1,0,1
2,0,30,2,2,300,-13040064.440047994,25101.374534835297,0,0,0,0
2,0,40,2,2,300,-12150200.820529787,18206.552790325368,0,0,0,0
2,0,50,2,2,300,-12868156.568123717,17722.97238032839,0,0,0,0
2,0,60,2,2,300,-14102052.16177801,16209.118114252973,0,0,0,0
